Bird ID,Site,Course,Date,Encounter,# shots
220111,TTRS,Tripsacum,2/7/2022,Pointed & Shot,1
211124,TTRS,Tripsacum,2/7/2022,"Birds held, hunters passed by",0
217211,TTRS,Tripsacum,2/7/2022,"Birds held, hunters passed by",0
211125,TTRS,Tripsacum,2/7/2022,"Birds held, hunters passed by",0
211124,TTRS,Tripsacum,2/7/2022,Not Pointed & Flushed Wild,0
217211,TTRS,Tripsacum,2/7/2022,Not Pointed & Flushed Wild,0
211125,TTRS,Tripsacum,2/7/2022,Not Pointed & Flushed Wild,0
211104,TTRS,Tripsacum,2/7/2022,Pointed & Flushed Wild,0
211127,TTRS,Tripsacum,2/7/2022,Pointed & Flushed Wild,0
211106,TTRS,Tripsacum,2/7/2022,Pointed & Flushed Wild,0
211124,TTRS,Tripsacum,2/7/2022,Pointed & Flushed Wild,0
217211,TTRS,Tripsacum,2/7/2022,Pointed & Flushed Wild,0
211125,TTRS,Tripsacum,2/7/2022,Pointed & Flushed Wild,0
220074,TTRS,Tripsacum,2/7/2022,Dogs pointed & birds ran,0
211153,TTRS,Tripsacum,2/7/2022,Dogs pointed & birds ran,0
220071,TTRS,Tripsacum,2/7/2022,Dogs pointed & birds ran,0
211130,TTRS,Tripsacum,2/7/2022,Dogs pointed & birds ran,0
220067,TTRS,Tripsacum,2/7/2022,Not Encountered,0
220064,TTRS,Tripsacum,2/7/2022,Not Encountered,0
217159,TTRS,Tripsacum,2/7/2022,Not Encountered,0
211116,TTRS,Tripsacum,2/7/2022,Not Encountered,0
211114,TTRS,Tripsacum,2/7/2022,Not Encountered,0
212149,TTRS,Tripsacum,2/7/2022,"Birds held, hunters passed by",0
220011,TTRS,Tripsacum,2/7/2022,"Birds held, hunters passed by",0
220009,TTRS,Tripsacum,2/7/2022,"Birds held, hunters passed by",0
211148,TTRS,Tripsacum,2/7/2022,"Birds held, hunters passed by",0
201108,TTRS,Tripsacum,2/7/2022,"Birds held, hunters passed by",0
212145,TTRS,Tripsacum,2/7/2022,"Birds held, hunters passed by",0
220007,TTRS,Tripsacum,2/7/2022,"Birds held, hunters passed by",0
220005,TTRS,Tripsacum,2/7/2022,Pointed & Shot,1
211142,TTRS,Tripsacum,2/7/2022,Pointed & Shot,1
211143,TTRS,Tripsacum,2/7/2022,Pointed & Shot,1
220103,TTRS,Tripsacum,2/7/2022,Pointed & Shot,3
220105,TTRS,Tripsacum,2/7/2022,Pointed & Shot,3
220415,TTRS,Cypress,2/9/2022,Not Encountered,0
220422,TTRS,Cypress,2/9/2022,Not Encountered,0
220423,TTRS,Cypress,2/9/2022,Not Encountered,0
211421,TTRS,Cypress,2/9/2022,Not Encountered,0
191663,TTRS,Cypress,2/9/2022,Not Encountered,0
220421,TTRS,Cypress,2/9/2022,Not Encountered,0
220414,TTRS,Cypress,2/9/2022,Not Encountered,0
211430,TTRS,Cypress,2/9/2022,"Birds held, hunters passed by",0
220449,TTRS,Cypress,2/9/2022,"Birds held, hunters passed by",0
211436,TTRS,Cypress,2/9/2022,"Birds held, hunters passed by",0
202095,TTRS,Cypress,2/9/2022,"Birds held, hunters passed by",0
211437,TTRS,Cypress,2/9/2022,"Birds held, hunters passed by",0
211627,TTRS,Cypress,2/9/2022,Not Encountered,0
211628,TTRS,Cypress,2/9/2022,Not Encountered,0
211629,TTRS,Cypress,2/9/2022,Not Encountered,0
211631,TTRS,Cypress,2/9/2022,Not Encountered,0
211606,TTRS,Cypress,2/9/2022,Not Pointed & Flushed Wild,0
211607,TTRS,Cypress,2/9/2022,Not Pointed & Flushed Wild,0
211608,TTRS,Cypress,2/9/2022,Not Pointed & Flushed Wild,0
211609,TTRS,Cypress,2/9/2022,Not Pointed & Flushed Wild,0
211610,TTRS,Cypress,2/9/2022,Not Pointed & Flushed Wild,0
211614,TTRS,Cypress,2/9/2022,Not Pointed & Flushed Wild,0
220450,TTRS,Cypress,2/9/2022,Not Pointed & Flushed Wild,0
220698,TTRS,Cypress,2/9/2022,Not Encountered,0
220629,TTRS,Cypress,2/9/2022,Not Encountered,0
220632,TTRS,Cypress,2/9/2022,Not Encountered,0
220030,TTRS,Beadel,2/10/2022,Pointed & Shot,2
