Bird ID,Date,Fate,Site,,From Nov1-Feb29
171453,1/22/2022,Alive,TTRS,,
171453,1/27/2022,Alive,TTRS,,
171453,2/1/2022,Alive,TTRS,,
171453,2/3/2022,Alive,TTRS,,
171453,2/7/2022,Alive,TTRS,,
171453,2/8/2022,Alive,TTRS,,
171453,2/11/2022,Alive,TTRS,,
171453,2/15/2022,Alive,TTRS,,
171453,2/17/2022,Alive,TTRS,,
171453,2/19/2022,Alive,TTRS,,
171453,2/21/2022,Alive,TTRS,,
171453,2/24/2022,Alive,TTRS,,
191012,11/23/2021,Alive,TTRS,,
191012,11/29/2021,Alive,TTRS,,
191012,12/1/2021,Alive,TTRS,,
191012,12/2/2021,Alive,TTRS,,
191012,12/6/2021,Alive,TTRS,,
191012,12/7/2021,Alive,TTRS,,
191012,12/14/2021,Alive,TTRS,,
191012,12/16/2021,Alive,TTRS,,
191012,12/20/2021,Alive,TTRS,,
191012,12/29/2021,Alive,TTRS,,
191012,1/5/2022,Alive,TTRS,,
191012,1/6/2022,Alive,TTRS,,
191012,1/10/2022,Alive,TTRS,,
191012,1/12/2022,Alive,TTRS,,
191012,1/14/2022,Alive,TTRS,,
191012,1/16/2022,Alive,TTRS,,
191012,1/18/2022,Alive,TTRS,,
191012,1/27/2022,Alive,TTRS,,
191012,2/1/2022,Alive,TTRS,,
191012,2/2/2022,Alive,TTRS,,
191012,2/7/2022,Alive,TTRS,,
191012,2/8/2022,Alive,TTRS,,
191012,2/10/2022,Alive,TTRS,,
191012,2/10/2022,Alive,TTRS,,
191012,2/12/2022,Alive,TTRS,,
191012,2/13/2022,Harvest,TTRS,,
191122,11/29/2021,Alive,TTRS,,
191122,12/1/2021,Alive,TTRS,,
191122,12/2/2021,Alive,TTRS,,
191122,12/6/2021,Alive,TTRS,,
191122,12/7/2021,Alive,TTRS,,
191122,12/14/2021,Alive,TTRS,,
191122,12/16/2021,Alive,TTRS,,
191122,12/20/2021,Alive,TTRS,,
191122,12/29/2021,Alive,TTRS,,
191122,1/5/2022,Alive,TTRS,,
191122,1/6/2022,Alive,TTRS,,
191122,1/10/2022,Alive,TTRS,,
191122,1/12/2022,Alive,TTRS,,
191122,1/20/2022,Alive,TTRS,,
191122,1/27/2022,Alive,TTRS,,
191122,1/31/2022,Alive,TTRS,,
191122,2/3/2022,Alive,TTRS,,
191122,2/7/2022,Alive,TTRS,,
191122,2/9/2022,Alive,TTRS,,
191122,2/10/2022,Alive,TTRS,,
191122,2/11/2022,Alive,TTRS,,
191122,2/13/2022,Alive,TTRS,,
191122,2/16/2022,Alive,TTRS,,
191122,2/17/2022,Alive,TTRS,,
191122,2/18/2022,Alive,TTRS,,
191122,2/19/2022,Alive,TTRS,,
191122,2/21/2022,Alive,TTRS,,
191122,2/24/2022,Alive,TTRS,,
191122,1/6/2023,Alive,TTRS,,
191122,1/15/2023,Alive,TTRS,,
191122,1/24/2023,Alive,TTRS,,
191122,1/26/2023,Alive,TTRS,,
191122,1/27/2023,Alive,TTRS,,
191122,1/30/2023,Alive,TTRS,,
191122,2/1/2023,Alive,TTRS,,
191122,2/3/2023,Alive,TTRS,,
191122,2/4/2023,Alive,TTRS,,
191122,2/6/2023,Alive,TTRS,,
191122,2/7/2023,Alive,TTRS,,
191122,2/9/2023,Alive,TTRS,,
191122,2/13/2023,Alive,TTRS,,
191122,2/15/2023,Alive,TTRS,,
191122,2/21/2023,Alive,TTRS,,
191122,2/24/2023,Dead,TTRS,,
191433,1/21/2022,Alive,TTRS,,
191433,1/24/2022,Alive,TTRS,,
191433,1/26/2022,Alive,TTRS,,
191433,2/1/2022,Alive,TTRS,,
191433,2/3/2022,Alive,TTRS,,
191433,2/7/2022,Alive,TTRS,,
191433,2/8/2022,Alive,TTRS,,
191433,2/9/2022,Alive,TTRS,,
191433,2/11/2022,Alive,TTRS,,
191433,2/13/2022,Alive,TTRS,,
191433,2/15/2022,Alive,TTRS,,
191433,2/17/2022,Alive,TTRS,,
191433,2/21/2022,Alive,TTRS,,
191433,2/24/2022,Alive,TTRS,,
191433,2/27/2022,Alive,TTRS,,
191663,11/23/2021,Alive,TTRS,,
191663,11/29/2021,Alive,TTRS,,
191663,12/1/2021,Alive,TTRS,,
191663,12/2/2021,Alive,TTRS,,
191663,12/6/2021,Alive,TTRS,,
191663,12/7/2021,Alive,TTRS,,
191663,12/14/2021,Alive,TTRS,,
191663,12/16/2021,Alive,TTRS,,
191663,12/20/2021,Alive,TTRS,,
191663,12/29/2021,Alive,TTRS,,
191663,1/5/2022,Alive,TTRS,,
191663,1/6/2022,Alive,TTRS,,
191663,1/10/2022,Alive,TTRS,,
191663,1/12/2022,Alive,TTRS,,
191663,1/14/2022,Alive,TTRS,,
191663,1/25/2022,Alive,TTRS,,
191663,1/27/2022,Alive,TTRS,,
191663,2/2/2022,Alive,TTRS,,
191663,2/3/2022,Alive,TTRS,,
191663,2/7/2022,Alive,TTRS,,
191663,2/8/2022,Alive,TTRS,,
191663,2/9/2022,Alive,TTRS,,
191663,2/11/2022,Alive,TTRS,,
191663,2/15/2022,Alive,TTRS,,
191663,2/16/2022,Alive,TTRS,,
191663,2/21/2022,Alive,TTRS,,
191663,2/24/2022,Alive,TTRS,,
191663,2/27/2022,Alive,TTRS,,
200044,1/16/2022,Alive,TTRS,,
200044,1/21/2022,Alive,TTRS,,
200044,1/26/2022,Alive,TTRS,,
200044,1/31/2022,Alive,TTRS,,
200044,2/3/2022,Alive,TTRS,,
200044,2/7/2022,Alive,TTRS,,
200044,2/9/2022,Alive,TTRS,,
200044,2/10/2022,Alive,TTRS,,
200044,2/11/2022,Alive,TTRS,,
200044,2/16/2022,Alive,TTRS,,
200044,2/17/2022,Alive,TTRS,,
200044,2/18/2022,Alive,TTRS,,
200044,2/18/2022,Alive,TTRS,,
200044,2/19/2022,Alive,TTRS,,
200044,2/21/2022,Alive,TTRS,,
200044,2/24/2022,Alive,TTRS,,
200263,11/23/2021,Alive,TTRS,,
200263,11/29/2021,Alive,TTRS,,
200263,12/1/2021,Alive,TTRS,,
200263,12/2/2021,Alive,TTRS,,
200263,12/6/2021,Alive,TTRS,,
200263,12/7/2021,Alive,TTRS,,
200263,12/14/2021,Alive,TTRS,,
200263,12/16/2021,Alive,TTRS,,
200263,12/20/2021,Alive,TTRS,,
200263,12/29/2021,Alive,TTRS,,
200263,1/5/2022,Alive,TTRS,,
200263,1/6/2022,Alive,TTRS,,
200263,1/10/2022,Alive,TTRS,,
200263,1/16/2022,Alive,TTRS,,
200263,1/26/2022,Alive,TTRS,,
200263,1/31/2022,Alive,TTRS,,
200263,2/2/2022,Alive,TTRS,,
200263,2/7/2022,Alive,TTRS,,
200263,2/8/2022,Alive,TTRS,,
200263,2/10/2022,Alive,TTRS,,
200263,2/10/2022,Alive,TTRS,,
200263,2/12/2022,Alive,TTRS,,
200263,2/14/2022,Alive,TTRS,,
200263,2/18/2022,Alive,TTRS,,
200263,2/21/2022,Alive,TTRS,,
200263,2/24/2022,Alive,TTRS,,
200263,2/25/2022,Alive,TTRS,,
200263,2/28/2022,Alive,TTRS,,
201003,11/8/2022,Alive,TTRS,,
201003,11/17/2022,Alive,TTRS,,
201003,11/22/2022,Alive,TTRS,,
201003,11/29/2022,Alive,TTRS,,
201003,12/1/2022,Alive,TTRS,,
201003,12/5/2022,Alive,TTRS,,
201003,12/8/2022,Alive,TTRS,,
201003,12/9/2022,Alive,TTRS,,
201003,12/12/2022,Alive,TTRS,,
201003,12/19/2022,Alive,TTRS,,
201003,1/12/2023,Alive,TTRS,,
201003,1/18/2023,Alive,TTRS,,
201003,1/26/2023,Alive,TTRS,,
201003,1/27/2023,Alive,TTRS,,
