Date,Site ,Course
2/7/2022,TTRS,Tripsacum
2/9/2022,TTRS,Cypress
2/10/2022,TTRS,Beadel
2/10/2022,TTRS,Buttler
2/11/2022,TTRS,Woodyard
2/11/2022,TTRS,Anders Flat
2/16/2022,TTRS,Cypress
2/18/2022,TTRS,Beadel
2/18/2022,TTRS,Buttler
2/19/2022,TTRS,Tripsacum
2/23/2022,TTRS,Woodyard
2/23/2022,TTRS,Anders Flat
2/25/2022,TTRS,Anders Flat
2/26/2022,TTRS,Buttler
3/3/2022,TTRS,Woodyard
1/23/2023,TTRS,Anders Flat
1/24/2023,TTRS,Tripsacum
1/26/2023,TTRS,Beadel
2/2/2023,TTRS,Anders Flat
2/2/2023,TTRS,Buttler
2/2/2023,TTRS,Cypress
2/3/2023,TTRS,Beadel
2/3/2023,TTRS,Woodyard
2/6/2023,TTRS,Woodyard
2/9/2023,TTRS,Buttler
2/9/2023,TTRS,Tripsacum
2/17/2023,TTRS,Woodyard
2/26/2023,TTRS,Cypress
1/29/2024,TTRS,Collins
1/30/2024,TTRS,Cypress
1/31/2024,TTRS,Hall Island
2/1/2024,TTRS,Buttler
2/6/2024,TTRS,Collins
2/7/2024,TTRS,Beadel
2/9/2024,TTRS,Cypress
2/9/2024,TTRS,Hall Island
2/13/2024,TTRS,Beadel
2/13/2024,TTRS,Buttler
2/15/2024,TTRS,Collins
2/15/2024,TTRS,Hall Island
2/16/2024,TTRS,Cypress
2/19/2024,TTRS,Beadel
2/20/2024,TTRS,Collins
2/22/2024,TTRS,Beadel
2/29/2024,TTRS,Buttler
